organization_id,incremental_id,accounting_year,accountingyr_status,accountingyr_start,accountingyr_end
1,1,20052005,0,01-Jan-05,31-Dec-05
1,2,20062006,0,01-Jan-06,31-Dec-06
1,3,20072007,0,01-Jan-07,31-Dec-07
1,4,20082008,0,01-Jan-08,31-Dec-08
1,5,20092009,0,01-Jan-09,31-Dec-09
1,6,20102010,0,01-Jan-10,31-Dec-10
1,7,20112011,0,01-Jan-11,31-Dec-11
1,8,20122012,0,01-Jan-12,31-Dec-12
1,9,20132013,0,01-Jan-13,31-Dec-13
1,10,20142014,0,01-Jan-14,31-Dec-14
1,11,20152015,0,01-Jan-15,31-Dec-15
1,12,20162016,0,01-Jan-16,31-Dec-16
1,13,20172017,0,01-Jan-17,31-Dec-17
1,14,20182018,0,01-Jan-18,31-Dec-18
1,15,20192019,0,01-Jan-19,31-Dec-19
1,16,20202020,0,01-Jan-20,31-Dec-20
1,17,20212021,1,01-Jan-21,31-Dec-21
